id,name,type,format,sizeGB,license,source,destination,status,downloadDate,sha256
tinyllama-1.1b,TinyLlama 1.1B Chat,llm,safetensors,2.2,Apache-2.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,models/llm/tinyllama-1.1b/,PENDING,,
phi-2,Microsoft Phi-2 (2.7B),llm,safetensors,5.6,MIT,microsoft/phi-2,models/llm/phi-2/,PENDING,,
sd-xl-base,Stable Diffusion XL Base 1.0,diffusion,safetensors,6.9,CreativeML-OpenRAIL-M,stabilityai/stable-diffusion-xl-base-1.0,models/diffusion/sdxl-base/,PENDING,,
sd-xl-refiner,Stable Diffusion XL Refiner 1.0,diffusion,safetensors,6.2,CreativeML-OpenRAIL-M,stabilityai/stable-diffusion-xl-refiner-1.0,models/diffusion/sdxl-refiner/,PENDING,,
controlnet-canny,ControlNet SDXL Canny,diffusion,safetensors,2.5,Apache-2.0,diffusers/controlnet-canny-sdxl-1.0,models/diffusion/controlnet-canny/,PENDING,,
rnnoise,RNNoise Denoiser Model,audio,onnx,0.01,BSD-3-Clause,xiph/rnnoise,models/audio/rnnoise/,PENDING,,
whisper-base,OpenAI Whisper Base,audio,pt,0.29,MIT,openai/whisper-base,models/audio/whisper-base/,PENDING,,
coqui-tts,Coqui TTS VITS,voice-clone,pth,1.8,MPL-2.0,coqui/XTTS-v2,models/voice-clone/coqui-xtts/,PENDING,,
instant-ngp-sample,Instant-NGP Sample Data,nerf,mixed,0.5,Apache-2.0,nerfstudio-project/nerfstudio-data,datasets/3d/nerf-samples/,PENDING,,
musicgen-small,Meta MusicGen Small,audio,safetensors,2.0,MIT,facebook/musicgen-small,models/audio/musicgen-small/,PENDING,,
laion-aesthetics-sample,LAION Aesthetics 6.5+ (sample),images,mixed,5.0,CC-BY-4.0,laion/laion-aesthetics-12m-subset,datasets/images/laion-aesthetics/,PENDING,,
objaverse-sample,Objaverse 3D Objects (sample),3d,glb,2.0,ODC-BY-1.0,allenai/objaverse,datasets/3d/objaverse/,PENDING,,
common-voice-sample,Mozilla Common Voice (sample),audio,mp3,1.5,CC0-1.0,mozilla-foundation/common_voice_11_0,datasets/audio/common-voice/,PENDING,,
